Num GPU,Num Client,Round,Average Detection Time
1,10,1,1359187
1,10,2,1065631
1,10,3,1141718
1,20,1,1489995
1,20,2,1648619
1,20,3,2151592
1,30,1,1675513
1,30,2,1848973
1,30,3,1743343
2,10,1,1162324
2,10,2,1134322
2,10,3,1094793
2,20,1,1610101
2,20,2,1671064
2,20,3,1480262
2,30,1,1794347
2,30,2,1723306
2,30,3,1722162
3,10,1,966549
3,10,2,1061044
3,10,3,1206058
3,20,1,2124237
3,20,2,1875277
3,20,3,1818412
3,30,1,1728204
3,30,2,1899864
3,30,3,1688106
4,10,1,1145412
4,10,2,140646
4,10,3,1425110
4,20,1,1568944
4,20,2,1789564
4,20,3,1739452
4,30,1,1717842
4,30,2,1866738
4,30,3,1784734
5,10,1,1117343
5,10,2,1111378
5,10,3,1137964
5,20,1,1624797
5,20,2,1782935
5,20,3,1785632
5,30,1,1662456
5,30,2,1883431
5,30,3,1802944
6,10,1,128846
6,10,2,1290807
6,10,3,1191507
6,20,1,1506468
6,20,2,1960009
6,20,3,1373449
6,30,1,2046877
6,30,2,1866529
6,30,3,1702072
7,10,1,135714
7,10,2,1294870
7,10,3,1237826
7,20,1,1610310
7,20,2,1457938
7,20,3,1546698
7,30,1,1969910
7,30,2,1809439
7,30,3,1736135
