Operation Name,Service,Duration,Logs
image frames/000467.jpg post detection process,pyClient,91336,
frame_detection,pyClient,405454,
detecting image: frames/000898.jpg,pyClient,250352,
frame_detection,pyClient,346626,
image frames/000145.jpg post detection process,pyClient,96150,
image frames/001176.jpg post detection process,pyClient,89267,
image frames/001022.jpg post detection process,pyClient,89799,
image frames/000903.jpg post detection process,pyClient,89604,
image frames/000959.jpg post detection process,pyClient,90764,
image frames/001088.jpg send to server for detection,pyClient,192652,
image frames/000770.jpg send to server for detection,pyClient,186699,
image frames/000060.jpg send to server for detection,pyClient,222764,
image frames/001015.jpg post detection process,pyClient,89327,
frame_detection,pyClient,351003,
frame_detection,pyClient,400417,
detecting image: frames/001080.jpg,pyClient,285184,
image frames/000526.jpg post detection process,pyClient,90275,
frame_detection,pyClient,383118,
image frames/000416.jpg post detection process,pyClient,88386,
image frames/000025.jpg post detection process,pyClient,96566,
image frames/000610.jpg send to server for detection,pyClient,564701,
image frames/000603.jpg send to server for detection,pyClient,252489,
image frames/000407.jpg send to server for detection,pyClient,152384,
image frames/001148.jpg post detection process,pyClient,89425,
image frames/000219.jpg send to server for detection,pyClient,164999,
image frames/000048.jpg send to server for detection,pyClient,224347,
detect,pyServer,44825,"[log(ts=1683071974923712, fields=[keyvalue(key='message', value_type='string', value_string='decoding from base64', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071974948642, fields=[keyvalue(key='message', value_type='string', value_string='Buffer encoding time', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071974948655, fields=[keyvalue(key='message', value_type='string', value_string='numpy array to opencv image', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071974956301, fields=[keyvalue(key='message', value_type='string', value_string='send frame to model for detection', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071974967252, fields=[keyvalue(key='message', value_type='string', value_string='frame detection finished', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071974967288, fields=[keyvalue(key='message', value_type='string', value_string='end computation in detector', value_bool=False, value_long=0, value_double=0.0, value_binary=None)])]"
image frames/000710.jpg send to server for detection,pyClient,176606,
frame_detection,pyClient,379505,
frame_detection,pyClient,397911,
image frames/000669.jpg post detection process,pyClient,83467,
image frames/000705.jpg post detection process,pyClient,85908,
frame_detection,pyClient,374567,
frame_detection,pyClient,380503,
frame_detection,pyClient,398441,
image frames/000103.jpg send to server for detection,pyClient,210220,
frame_detection,pyClient,403259,
image frames/000073.jpg post detection process,pyClient,95720,
frame_detection,pyClient,369947,
image frames/000658.jpg post detection process,pyClient,87966,
image frames/001198.jpg send to server for detection,pyClient,194019,
detecting image: frames/000845.jpg,pyClient,280429,
frame_detection,pyClient,446010,
image frames/000808.jpg send to server for detection,pyClient,160286,
image frames/000838.jpg post detection process,pyClient,87552,
detecting image: frames/000036.jpg,pyClient,323886,
image frames/001040.jpg send to server for detection,pyClient,175235,
detecting image: frames/000121.jpg,pyClient,302647,
frame_detection,pyClient,396198,
detecting image: frames/000730.jpg,pyClient,243821,
detecting image: frames/000445.jpg,pyClient,259715,
detect,pyServer,86202,"[log(ts=1683072145007773, fields=[keyvalue(key='message', value_type='string', value_string='decoding from base64', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683072145071764, fields=[keyvalue(key='message', value_type='string', value_string='Buffer encoding time', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683072145071783, fields=[keyvalue(key='message', value_type='string', value_string='numpy array to opencv image', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683072145080238, fields=[keyvalue(key='message', value_type='string', value_string='send frame to model for detection', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683072145091964, fields=[keyvalue(key='message', value_type='string', value_string='frame detection finished', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683072145092000, fields=[keyvalue(key='message', value_type='string', value_string='end computation in detector', value_bool=False, value_long=0, value_double=0.0, value_binary=None)])]"
image frames/000090.jpg post detection process,pyClient,94618,
image frames/000704.jpg send to server for detection,pyClient,194310,
detecting image: frames/000101.jpg,pyClient,308367,
image frames/000309.jpg post detection process,pyClient,91545,
frame_detection,pyClient,339522,
image frames/000844.jpg post detection process,pyClient,86516,
detecting image: frames/001167.jpg,pyClient,260327,
image frames/000698.jpg post detection process,pyClient,86598,
detecting image: frames/000474.jpg,pyClient,369691,
frame_detection,pyClient,408001,
frame_detection,pyClient,390507,
image frames/000949.jpg post detection process,pyClient,87055,
detecting image: frames/000184.jpg,pyClient,265512,
image frames/000861.jpg post detection process,pyClient,86127,
frame_detection,pyClient,384001,
frame_detection,pyClient,410367,
frame_detection,pyClient,374765,
detecting image: frames/000231.jpg,pyClient,317391,
image frames/000548.jpg post detection process,pyClient,84800,
image frames/000911.jpg post detection process,pyClient,90545,
image frames/001156.jpg post detection process,pyClient,86621,
frame_detection,pyClient,415613,
detecting image: frames/000760.jpg,pyClient,243336,
detecting image: frames/000212.jpg,pyClient,301307,
detecting image: frames/000251.jpg,pyClient,298308,
frame_detection,pyClient,569129,
detecting image: frames/000906.jpg,pyClient,286820,
image frames/000754.jpg post detection process,pyClient,84610,
image frames/000730.jpg post detection process,pyClient,82840,
frame_detection,pyClient,400115,
detecting image: frames/000279.jpg,pyClient,258052,
frame_detection,pyClient,413966,
frame_detection,pyClient,386056,
frame_detection,pyClient,431986,
frame_detection,pyClient,386113,
image frames/000803.jpg post detection process,pyClient,132099,
detecting image: frames/000560.jpg,pyClient,299358,
frame_detection,pyClient,469480,
image frames/000099.jpg post detection process,pyClient,96716,
detecting image: frames/000874.jpg,pyClient,239893,
frame_detection,pyClient,357916,
frame_detection,pyClient,416776,
image frames/000824.jpg send to server for detection,pyClient,189658,
detecting image: frames/001071.jpg,pyClient,240209,
image frames/000929.jpg send to server for detection,pyClient,191555,
image frames/001183.jpg send to server for detection,pyClient,202876,
image frames/000123.jpg send to server for detection,pyClient,206253,
image frames/000640.jpg post detection process,pyClient,91342,
image frames/000415.jpg send to server for detection,pyClient,227517,
image frames/000948.jpg send to server for detection,pyClient,184118,
frame_detection,pyClient,397802,
frame_detection,pyClient,360852,
frame_detection,pyClient,396135,
detecting image: frames/000006.jpg,pyClient,273444,
detecting image: frames/000425.jpg,pyClient,304059,
frame_detection,pyClient,396898,
image frames/000693.jpg send to server for detection,pyClient,192231,
frame_detection,pyClient,380187,
frame_detection,pyClient,417896,
image frames/000939.jpg post detection process,pyClient,86009,
image frames/000086.jpg post detection process,pyClient,102840,
image frames/000437.jpg send to server for detection,pyClient,165594,
frame_detection,pyClient,447736,
detecting image: frames/000952.jpg,pyClient,287837,
detecting image: frames/000330.jpg,pyClient,491681,
frame_detection,pyClient,417832,
image frames/000717.jpg post detection process,pyClient,85948,
image frames/001118.jpg post detection process,pyClient,90975,
image frames/000039.jpg post detection process,pyClient,96586,
detecting image: frames/000427.jpg,pyClient,243203,
image frames/000709.jpg post detection process,pyClient,85718,
detecting image: frames/000158.jpg,pyClient,318412,
image frames/000496.jpg send to server for detection,pyClient,158431,
image frames/000162.jpg send to server for detection,pyClient,195001,
frame_detection,pyClient,416938,
detecting image: frames/000419.jpg,pyClient,259752,
image frames/000283.jpg send to server for detection,pyClient,165574,
frame_detection,pyClient,393099,
image frames/001180.jpg send to server for detection,pyClient,204500,
image frames/000608.jpg post detection process,pyClient,103288,
frame_detection,pyClient,448910,
image frames/000424.jpg post detection process,pyClient,98475,
image frames/000382.jpg send to server for detection,pyClient,195049,
image frames/000854.jpg post detection process,pyClient,86527,
image frames/000555.jpg post detection process,pyClient,153832,
frame_detection,pyClient,362285,
detecting image: frames/000337.jpg,pyClient,305724,
image frames/000814.jpg send to server for detection,pyClient,192895,
detect,pyServer,89075,"[log(ts=1683071978003295, fields=[keyvalue(key='message', value_type='string', value_string='decoding from base64', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071978071791, fields=[keyvalue(key='message', value_type='string', value_string='Buffer encoding time', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071978071806, fields=[keyvalue(key='message', value_type='string', value_string='numpy array to opencv image', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071978080307, fields=[keyvalue(key='message', value_type='string', value_string='send frame to model for detection', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071978091114, fields=[keyvalue(key='message', value_type='string', value_string='frame detection finished', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1683071978091147, fields=[keyvalue(key='message', value_type='string', value_string='end computation in detector', value_bool=False, value_long=0, value_double=0.0, value_binary=None)])]"
image frames/000993.jpg send to server for detection,pyClient,302327,
detecting image: frames/000512.jpg,pyClient,299398,
frame_detection,pyClient,387835,
