Operation Name,Service,Duration,Logs
image frames/001143.jpg post detection process,pyClient,89618,
image frames/001088.jpg post detection process,pyClient,89620,
image frames/000312.jpg post detection process,pyClient,94069,
image frames/000143.jpg post detection process,pyClient,96104,
detecting image: frames/000098.jpg,pyClient,1213459,
image frames/000284.jpg post detection process,pyClient,92298,
detecting image: frames/000240.jpg,pyClient,810082,
detecting image: frames/000872.jpg,pyClient,974226,
frame_detection,pyClient,1482367,
image frames/000060.jpg post detection process,pyClient,96547,
image frames/000149.jpg send to server for detection,pyClient,1041545,
detect,pyServer,234230,"[log(ts=1682396187367784, fields=[keyvalue(key='message', value_type='string', value_string='decoding from base64', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1682396187431162, fields=[keyvalue(key='message', value_type='string', value_string='Buffer encoding time', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1682396187431205, fields=[keyvalue(key='message', value_type='string', value_string='numpy array to opencv image', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1682396187448834, fields=[keyvalue(key='message', value_type='string', value_string='send frame to model for detection', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1682396187599581, fields=[keyvalue(key='message', value_type='string', value_string='frame detection finished', value_bool=False, value_long=0, value_double=0.0, value_binary=None)]), log(ts=1682396187599638, fields=[keyvalue(key='message', value_type='string', value_string='end computation in detector', value_bool=False, value_long=0, value_double=0.0, value_binary=None)])]"
frame_detection,pyClient,679225,
detecting image: frames/000667.jpg,pyClient,1189493,
image frames/000166.jpg post detection process,pyClient,98210,
image frames/000953.jpg send to server for detection,pyClient,485321,
frame_detection,pyClient,438022,
detecting image: frames/000841.jpg,pyClient,968536,
image frames/000023.jpg send to server for detection,pyClient,1115405,
image frames/000941.jpg send to server for detection,pyClient,279454,
