cpu,mem,gpu,gpu_mem,client,time_extract_network_package,time_convert_data_to_numpy,time_convert_numpy_to_opencv,time_model_inference
1000,16,0,0,1,62371,24,8554,1217366
1000,16,0,0,1,70206,19,8374,1211136
1000,16,0,0,1,62988,16,8286,1122472
1000,16,0,0,1,65202,16,8417,1285395
1000,16,0,0,1,70641,26,8540,1109313
1000,16,0,0,1,29718,18,8384,1250230
1000,16,0,0,1,31275,25,8491,1147566
1000,16,0,0,1,26545,19,8226,1155112
1000,16,0,0,1,32406,18,9010,942177
1000,16,0,0,1,65320,25,7961,1014106
1000,16,0,0,1,70797,24,9586,1001528
1000,16,0,0,1,29230,25,8364,1155440
1000,16,0,0,1,67449,26,8333,1123020
1000,16,0,0,1,28018,19,8166,1156630
1000,16,0,0,1,66758,20,8329,1019558
1000,16,0,0,1,31000,17,8575,1143253
1000,16,0,0,1,70633,19,9052,1113977
1000,16,0,0,1,73332,16,8966,1116846
1000,16,0,0,1,29027,18,9437,1242938
1000,16,0,0,1,71073,20,8740,1301110
1000,16,0,0,1,70554,16,8433,1097654
1000,16,0,0,1,79119,20,9162,1185883
1000,16,0,0,1,26509,18,8218,1363391
1000,16,0,0,1,25918,20,8188,1057560
1000,16,0,0,1,63522,22,8154,1322028
1000,16,0,0,1,72085,19,8463,906264
1000,16,0,0,1,70232,23,8241,1110966
1000,16,0,0,1,72170,18,8569,1110619
1000,16,0,0,1,65734,23,8092,1128619
1000,16,0,0,1,66155,17,8038,1219547
1000,16,0,0,1,21654,22,8049,1165430
1000,16,0,0,1,78976,16,9177,1297792
1000,16,0,0,1,65900,17,7954,1115213
1000,16,0,0,1,78877,23,9181,1099462
1000,16,0,0,1,66896,27,8306,1209740
1000,16,0,0,1,77061,23,8703,1207021
1000,16,0,0,1,76860,26,10077,1196236
1000,16,0,0,1,68630,15,8205,1114861
1000,16,0,0,1,64524,25,8464,1115316
1000,16,0,0,1,78228,20,10118,1193350
1000,16,0,0,1,70676,18,8489,1219039
1000,16,0,0,1,79066,15,8968,1005403
1000,16,0,0,1,67348,22,8433,1118712
1000,16,0,0,1,64245,17,8935,1273259
1000,16,0,0,1,35374,20,9872,1036834
1000,16,0,0,1,65221,19,8360,1120059
1000,16,0,0,1,71119,19,8079,1218364
1000,16,0,0,1,25735,27,8402,1151737
1000,16,0,0,1,71317,23,9052,1114144
1000,16,0,0,1,68305,18,9735,1013457
1000,16,0,0,1,59190,23,7833,1135788
1000,16,0,0,1,73690,14,8534,1199211
1000,16,0,0,1,72585,16,9168,1004830
1000,16,0,0,1,66113,23,9489,913698
1000,16,0,0,1,65845,19,7868,1222107
1000,16,0,0,1,68719,22,9416,905959
1000,16,0,0,1,63799,20,7796,1127237
1000,16,0,0,1,75959,18,9108,1194935
1000,16,0,0,1,74621,18,9810,1200636
1000,16,0,0,1,63402,19,8052,1026427
1000,16,0,0,1,62391,18,8707,1126311
1000,16,0,0,1,69115,18,9274,1118073
1000,16,0,0,1,72675,18,8493,1209330
1000,16,0,0,1,76631,16,8823,1194510
1000,16,0,0,1,25381,17,8258,1160153
1000,16,0,0,1,18253,14,8000,1071388
1000,16,0,0,1,71577,17,8546,806989
1000,16,0,0,1,64274,17,8119,1229650
1000,16,0,0,1,74674,19,8585,1005733
1000,16,0,0,1,73267,20,9235,1109969
1000,16,0,0,1,65267,16,8073,1213758
1000,16,0,0,1,66725,16,8201,1123367
1000,16,0,0,1,62971,17,8138,1225694
1000,16,0,0,1,63278,24,8237,1223428
1000,16,0,0,1,71719,18,8314,1213602
1000,16,0,0,1,62966,14,8107,1111654
1000,16,0,0,1,27535,19,8252,1061694
1000,16,0,0,1,59278,15,8066,1027298
1000,16,0,0,1,74835,20,8923,1109143
1000,16,0,0,1,74469,19,8915,905783
1000,16,0,0,1,32268,16,8586,1138753
1000,16,0,0,1,64979,22,8240,1115424
1000,16,0,0,1,77317,19,9223,1168786
1000,16,0,0,1,69667,16,8545,1113428
1000,16,0,0,1,84111,17,10273,1288836
1000,16,0,0,1,35166,17,9537,1067453
1000,16,0,0,1,27848,25,9200,1250289
1000,16,0,0,1,64745,25,8061,1115091
1000,16,0,0,1,28555,15,8309,1256297
1000,16,0,0,1,65751,19,8272,1018757
1000,16,0,0,1,65696,24,8027,1225876
1000,16,0,0,1,61728,16,7924,1127191
1000,16,0,0,1,26215,22,7944,1168618
1000,16,0,0,1,62737,16,8116,1330316
1000,16,0,0,1,71760,68,8500,1183385
1000,16,0,0,1,84414,18,10218,1189065
1000,16,0,0,1,64297,25,8346,1225472
1000,16,0,0,1,71181,17,8545,1010852
1000,16,0,0,1,28148,25,8255,1657116
1000,16,0,0,1,66770,16,8344,1014670
1000,16,0,0,1,65528,17,7943,1122742
1000,16,0,0,1,66666,23,8113,1222225
1000,16,0,0,1,70668,17,9413,1209426
1000,16,0,0,1,37099,18,8664,1233942
1000,16,0,0,1,71099,18,8653,1113582
1000,16,0,0,1,65416,19,8008,1122242
1000,16,0,0,1,72228,20,8858,1294107
1000,16,0,0,1,70150,26,9916,1196572
1000,16,0,0,1,60853,14,8112,1018657
1000,16,0,0,1,65810,20,8153,1030854
1000,16,0,0,1,75189,24,8612,1099338
1000,16,0,0,1,70158,17,8526,1110802
1000,16,0,0,1,71452,21,9837,1009646
1000,16,0,0,1,29319,17,8459,1147951
1000,16,0,0,1,60340,18,8186,1119300
1000,16,0,0,1,62424,18,9428,1021561
1000,16,0,0,1,25139,24,8400,1060951
1000,16,0,0,1,68653,16,8036,1022012
1000,16,0,0,1,71537,19,9563,1108950
1000,16,0,0,1,22999,18,8706,1354788
1000,16,0,0,1,64800,19,8068,1119857
1000,16,0,0,1,30661,14,8453,1151671
1000,16,0,0,1,68510,16,8534,1114626
1000,16,0,0,1,67156,23,8255,1118920
1000,16,0,0,1,72283,19,8303,1214482
1000,16,0,0,1,59221,23,9235,1124443
1000,16,0,0,1,67051,17,9447,917090
1000,16,0,0,1,69849,23,8444,1201314
1000,16,0,0,1,66788,21,8874,1221670
1000,16,0,0,1,66744,23,8323,1121619
1000,16,0,0,1,60774,17,7915,1328084
1000,16,0,0,1,29592,16,8199,1358676
1000,16,0,0,1,62563,25,8730,1233533
1000,16,0,0,1,27058,18,8404,1055900
1000,16,0,0,1,68149,16,8250,1119277
1000,16,0,0,1,57380,18,8592,1229770
1000,16,0,0,1,74693,20,8724,1309325
1000,16,0,0,1,69016,22,8194,1118389
1000,16,0,0,1,33072,17,8609,1050854
1000,16,0,0,1,71933,15,8435,1209766
1000,16,0,0,1,66362,15,8247,1122144
1000,16,0,0,1,78514,22,8742,1201306
1000,16,0,0,1,60726,19,8294,1111601
1000,16,0,0,1,60635,15,8075,1114241
1000,16,0,0,1,32115,18,9381,1048804
1000,16,0,0,1,75831,21,8888,1203146
1000,16,0,0,1,79152,25,9138,1296874
1000,16,0,0,1,64402,18,8275,1221453
1000,16,0,0,1,77693,16,8862,1194679
1000,16,0,0,1,71736,22,8656,1202179
1000,16,0,0,1,34779,25,8992,1034970
1000,16,0,0,1,66018,17,8903,1217383
1000,16,0,0,1,67021,24,8305,1121653
1000,16,0,0,1,64700,26,8191,1125621
1000,16,0,0,1,64339,19,8029,1126209
1000,16,0,0,1,64328,26,8263,1114863
1000,16,0,0,1,71143,15,8666,1111202
1000,16,0,0,1,73389,20,8775,1302639
1000,16,0,0,1,74125,16,8577,1189665
1000,16,0,0,1,68641,19,8097,1019429
1000,16,0,0,1,64141,17,7959,1226254
1000,16,0,0,1,76415,19,9055,906030
1000,16,0,0,1,57995,16,8445,1123104
1000,16,0,0,1,73220,18,9602,1214202
1000,16,0,0,1,78544,28,9095,1397614
1000,16,0,0,1,74707,24,8864,1198627
1000,16,0,0,1,66530,19,7954,1323144
1000,16,0,0,1,80103,21,8923,904840
1000,16,0,0,1,69641,23,8289,1217814
1000,16,0,0,1,77258,25,9041,1300940
1000,16,0,0,1,70358,15,8196,1095268
1000,16,0,0,1,67348,18,8098,1123778
1000,16,0,0,1,31150,16,9233,1046866
1000,16,0,0,1,30114,23,8454,1144474
1000,16,0,0,1,28385,17,8967,1148590
1000,16,0,0,1,72095,24,8626,1209817
1000,16,0,0,1,70920,22,8085,1111832
1000,16,0,0,1,66446,17,8301,1217590
1000,16,0,0,1,57897,18,8123,1225799
1000,16,0,0,1,76440,24,9205,1202400
1000,16,0,0,1,66502,22,8878,918762
1000,16,0,0,1,27489,15,9459,1155686
1000,16,0,0,1,58881,16,9425,1098061
1000,16,0,0,1,32793,16,8608,1443240
1000,16,0,0,1,69056,24,8104,1218475
1000,16,0,0,1,32073,18,8767,1353315
1000,16,0,0,1,76089,16,9093,1005120
1000,16,0,0,1,70485,16,8322,1217670
1000,16,0,0,1,29317,18,9432,1558371
1000,16,0,0,1,73408,15,8623,1111108
1000,16,0,0,1,72752,19,8628,1301303
1000,16,0,0,1,67216,14,8353,1026268
1000,16,0,0,1,63206,16,7990,1226286
1000,16,0,0,1,22689,17,8153,1268604
1000,16,0,0,1,59137,24,7876,1031620
1000,16,0,0,1,72363,22,10083,1296863
1000,16,0,0,1,68621,17,10081,1109560
1000,16,0,0,1,23885,16,8022,1060979
1000,16,0,0,1,62845,19,7828,1027481
1000,16,0,0,1,62460,15,8318,1213539
1000,16,0,0,1,24719,17,8688,1154937
1000,16,0,0,1,24628,19,8122,854314
1000,16,0,0,1,29691,26,9493,1260216
1000,16,0,0,1,71188,20,8707,907215
1000,16,0,0,1,70258,18,8911,1210310
1000,16,0,0,1,64834,17,8125,1015106
1000,16,0,0,1,27192,23,8192,1157606
1000,16,0,0,1,24886,18,9148,1167714
1000,16,0,0,1,72477,18,8616,1110914
1000,16,0,0,1,72618,23,9170,1201396
1000,16,0,0,1,32471,22,9195,1248730
1000,16,0,0,1,24529,15,7794,1268271
1000,16,0,0,1,28068,25,8509,1144279
1000,16,0,0,1,65812,18,8885,1222476
1000,16,0,0,1,70007,24,9199,1112609
1000,16,0,0,1,71906,18,8522,1117391
1000,16,0,0,1,32583,16,8478,1062654
1000,16,0,0,1,79044,25,9514,1185003
1000,16,0,0,1,67625,19,8965,1213294
1000,16,0,0,1,66647,18,9500,1218139
1000,16,0,0,1,72105,24,9437,1005192
1000,16,0,0,1,23507,17,8645,1267513
1000,16,0,0,1,69343,24,8469,1115572
1000,16,0,0,1,72625,16,8410,1209607
1000,16,0,0,1,35326,17,9004,1148143
1000,16,0,0,1,76307,24,9057,1297980
1000,16,0,0,1,69072,24,9235,1118653
1000,16,0,0,1,36041,25,9866,1044820
1000,16,0,0,1,65206,26,9518,1316904
1000,16,0,0,1,61576,17,7852,1126029
1000,16,0,0,1,32201,17,9011,1040090
1000,16,0,0,1,76302,24,8830,1199151
1000,16,0,0,1,67600,18,8289,1219444
1000,16,0,0,1,59430,16,8306,1130706
1000,16,0,0,1,64215,18,8465,1311217
1000,16,0,0,1,35064,17,8789,1048568
1000,16,0,0,1,24165,27,8581,1247489
1000,16,0,0,1,65996,15,8126,1202709
1000,16,0,0,1,62824,17,8088,1230480
1000,16,0,0,1,65006,25,9599,813916
1000,16,0,0,1,66361,17,8202,1213723
1000,16,0,0,1,28953,23,8425,1163292
1000,16,0,0,1,66357,19,8886,1313708
1000,16,0,0,1,69773,20,8724,1109166
1000,16,0,0,1,66600,24,8435,1219179
1000,16,0,0,1,65077,18,9058,1224898
1000,16,0,0,1,83372,17,10287,1189195
1000,16,0,0,1,72877,25,8538,1209595
1000,16,0,0,1,26321,17,8810,1057163
1000,16,0,0,1,68901,24,8946,1006521
1000,16,0,0,1,64387,21,8430,1209666
1000,16,0,0,1,24306,24,8043,1139282
1000,16,0,0,1,68553,19,8216,1111484
1000,16,0,0,1,64270,24,8131,1027025
1000,16,0,0,1,21038,18,9460,1161115
1000,16,0,0,1,30960,15,8522,1153923
1000,16,0,0,1,18497,23,8038,1163414
1000,16,0,0,1,59965,22,8209,1018669
1000,16,0,0,1,82480,15,9081,978288
1000,16,0,0,1,63946,16,8272,1115516
1000,16,0,0,1,32409,17,8406,1340392
1000,16,0,0,1,29696,18,8375,1063677
1000,16,0,0,1,25410,24,8126,1161327
1000,16,0,0,1,79637,17,9070,1296937
1000,16,0,0,1,61492,18,8224,1026907
1000,16,0,0,1,68147,17,8921,1121025
1000,16,0,0,1,76435,20,9992,1001550
1000,16,0,0,1,78061,19,9938,1204539
1000,16,0,0,1,63026,22,8058,1127745
1000,16,0,0,1,67496,20,8492,1013535
1000,16,0,0,1,30783,23,9600,1152674
1000,16,0,0,1,64565,16,8227,1023590
1000,16,0,0,1,75888,15,8877,1302257
1000,16,0,0,1,65952,18,9503,1112321
1000,16,0,0,1,68910,16,9683,1081834
1000,16,0,0,1,66752,20,8206,1217738
1000,16,0,0,1,78666,16,9030,1296761
1000,16,0,0,1,24656,17,8243,1148145
1000,16,0,0,1,35592,20,9111,1158600
1000,16,0,0,1,72323,17,8506,1109416
1000,16,0,0,1,18420,17,8099,1257239
1000,16,0,0,1,31445,20,8621,1240524
1000,16,0,0,1,71407,16,9884,1017517
1000,16,0,0,1,61937,26,9099,1086634
1000,16,0,0,1,67427,25,8242,1023616
1000,16,0,0,1,61524,17,8188,1095452
1000,16,0,0,1,21240,16,7893,1261700
1000,16,0,0,1,70913,17,8527,1110433
1000,16,0,0,1,76872,20,8860,1111044
1000,16,0,0,1,17751,18,8308,1271230
1000,16,0,0,1,64255,19,9388,1124478
1000,16,0,0,1,73715,25,8364,1209397
1000,16,0,0,1,35878,21,8930,1150479
1000,16,0,0,1,69951,16,8267,1199606
1000,16,0,0,1,36071,17,9742,1334999
1000,16,0,0,1,67609,21,8679,1117259
1000,16,0,0,1,63493,16,8137,1123512
1000,16,0,0,1,75246,20,8367,1010603
1000,16,0,0,1,32534,15,8696,1242017
1000,16,0,0,1,71734,15,8367,907477
1000,16,0,0,1,59629,22,8822,1321396
1000,16,0,0,1,67888,16,8163,1123494
1000,16,0,0,1,78384,20,8891,1302903
1000,16,0,0,1,60376,18,8286,1122697
1000,16,0,0,1,74478,18,9241,1101825
1000,16,0,0,1,65138,18,9071,1322862
1000,16,0,0,1,64836,24,8244,1127175
1000,16,0,0,1,77577,25,8865,1298339
1000,16,0,0,1,29016,21,9581,1144729
1000,16,0,0,1,78008,24,8965,1296842
1000,16,0,0,1,65308,17,9270,1217639
1000,16,0,0,1,68249,15,8431,1018260
1000,16,0,0,1,66977,20,9552,1304743
1000,16,0,0,1,70205,14,8374,1293514
1000,16,0,0,1,75122,15,9439,1005208
1000,16,0,0,1,76976,20,9089,1293279
1000,16,0,0,1,29203,13,8460,1050205
1000,16,0,0,1,28520,16,8774,1151768
1000,16,0,0,1,74488,22,9071,1201555
1000,16,0,0,1,60951,21,8656,1225114
1000,16,0,0,1,23632,19,8753,1353194
1000,16,0,0,1,70277,19,9014,1004960
1000,16,0,0,1,72447,16,9155,1200746
1000,16,0,0,1,55964,25,8016,1023079
1000,16,0,0,1,76532,24,9076,1005771
1000,16,0,0,1,39234,20,8953,1031175
1000,16,0,0,1,27454,16,9589,1245135
1000,16,0,0,1,62625,18,8931,1026369
1000,16,0,0,1,66478,20,8098,1198970
1000,16,0,0,1,69596,17,8289,1005567
1000,16,0,0,1,70243,23,9064,1118724
1000,16,0,0,1,66663,26,8082,1015064
1000,16,0,0,1,69133,24,8372,1118853
1000,16,0,0,1,25456,17,7935,1463456
1000,16,0,0,1,79370,24,9108,1100794
1000,16,0,0,1,59442,17,8150,1034716
1000,16,0,0,1,71484,17,8728,1203122
1000,16,0,0,1,64908,23,7933,1210260
1000,16,0,0,1,73466,17,8352,1198869
1000,16,0,0,1,67386,23,8303,1123447
1000,16,0,0,1,71668,17,8081,1015115
1000,16,0,0,1,66564,25,8250,1501572
1000,16,0,0,1,90158,24,8415,1389348
1000,16,0,0,1,71824,23,10183,1305354
1000,16,0,0,1,38285,22,9458,1238516
1000,16,0,0,1,52851,15,9507,1094094
1000,16,0,0,1,76634,18,8892,1298323
1000,16,0,0,1,66109,15,8481,918661
1000,16,0,0,1,78860,25,9152,1006656
1000,16,0,0,1,29805,15,9177,1056254
1000,16,0,0,1,66272,15,8050,1014200
1000,16,0,0,1,65287,18,8106,1005907
1000,16,0,0,1,68747,17,8408,1110770
1000,16,0,0,1,82065,25,9262,1170291
1000,16,0,0,1,63734,17,8911,1321098
1000,16,0,0,1,66289,24,8303,1223710
1000,16,0,0,1,64191,14,9426,897048
1000,16,0,0,1,61086,20,9107,1229010
1000,16,0,0,1,72206,19,9046,1110927
1000,16,0,0,1,69883,18,8393,1202802
1000,16,0,0,1,81995,19,8889,1301122
1000,16,0,0,1,23906,25,7988,1261051
1000,16,0,0,1,58787,19,8235,1023588
1000,16,0,0,1,66050,19,8938,1212984
1000,16,0,0,1,17839,18,8192,1165113
1000,16,0,0,1,74974,18,9524,1005794
1000,16,0,0,1,63668,26,8050,1015955
1000,16,0,0,1,19879,15,8458,1061608
1000,16,0,0,1,73624,17,9536,1297488
1000,16,0,0,1,76593,16,8687,905144
1000,16,0,0,1,79430,18,10169,901317
1000,16,0,0,1,41161,16,8999,1146783
1000,16,0,0,1,65881,18,8749,1217017
1000,16,0,0,1,28664,16,8360,1330495
1000,16,0,0,1,38954,18,8901,1144136
1000,16,0,0,1,67235,19,8376,1418129
1000,16,0,0,1,69716,21,8366,1115024
1000,16,0,0,1,79521,22,8978,1298230
1000,16,0,0,1,27562,20,8405,1163322
1000,16,0,0,1,30112,22,8698,1351259
1000,16,0,0,1,67318,19,8337,1214064
1000,16,0,0,1,75900,26,8940,1300990
1000,16,0,0,1,78959,17,8563,1302056
1000,16,0,0,1,72441,16,8365,1103657
1000,16,0,0,1,36535,24,9026,1341791
1000,16,0,0,1,63637,16,9246,1225852
1000,16,0,0,1,74696,16,8499,1006129
1000,16,0,0,1,59642,16,8323,1122471
1000,16,0,0,1,68040,26,8278,1018764
1000,16,0,0,1,37740,16,9492,1039201
1000,16,0,0,1,69833,23,9087,1217165
1000,16,0,0,1,71771,19,9210,1397672
1000,16,0,0,1,64305,17,8512,1209694
1000,16,0,0,1,69814,18,9574,1112603
1000,16,0,0,1,67930,17,8598,1115386
1000,16,0,0,1,69302,16,8328,1183476
1000,16,0,0,1,64173,24,8695,1325516
1000,16,0,0,1,76503,19,9037,1301077
1000,16,0,0,1,71267,21,8715,904964
1000,16,0,0,1,61408,21,9639,1328629
1000,16,0,0,1,36669,18,8659,1122162
1000,16,0,0,1,72413,18,8686,1109927
1000,16,0,0,1,68408,16,9126,1017628
1000,16,0,0,1,77832,22,8656,1005554
1000,16,0,0,1,67392,19,8207,1014678
1000,16,0,0,1,28821,19,8221,962017
1000,16,0,0,1,78931,27,8819,806550
1000,16,0,0,1,72890,18,8534,1302135
1000,16,0,0,1,72197,25,8618,1086587
1000,16,0,0,1,72238,14,8526,1109426
1000,16,0,0,1,39766,21,8996,936615
1000,16,0,0,1,33732,19,10018,1044559
1000,16,0,0,1,62474,16,8123,1123665
1000,16,0,0,1,32248,19,8383,953383
1000,16,0,0,1,75975,21,8724,1203126
1000,16,0,0,1,77381,18,9735,1096093
1000,16,0,0,1,69856,17,9452,1018510
1000,16,0,0,1,72488,24,9831,1013723
1000,16,0,0,1,67377,17,8508,1218461
1000,16,0,0,1,38703,20,8844,1334583
1000,16,0,0,1,29152,15,8416,1138574
1000,16,0,0,1,24475,18,8704,1248155
1000,16,0,0,1,72370,22,9825,1100948
1000,16,0,0,1,32374,21,8661,1250154
1000,16,0,0,1,60679,17,8484,1249549
1000,16,0,0,1,71647,27,8617,1209290
1000,16,0,0,1,61718,16,7968,1214074
1000,16,0,0,1,65692,25,9296,1225728
1000,16,0,0,1,29980,16,8451,1162937
1000,16,0,0,1,70567,14,8493,1286130
1000,16,0,0,1,70333,15,9658,1213074
1000,16,0,0,1,68197,24,8538,1317229
1000,16,0,0,1,28695,28,8015,1256127
1000,16,0,0,1,69201,17,8413,1109558
1000,16,0,0,1,69552,23,7993,1215684
1000,16,0,0,1,27321,17,8420,1265841
1000,16,0,0,1,67512,15,8653,1018772
1000,16,0,0,1,18248,16,8862,1166904
1000,16,0,0,1,67787,17,8169,1118964
1000,16,0,0,1,22957,17,7966,1163617
1000,16,0,0,1,28538,18,8126,1257945
1000,16,0,0,1,66250,17,9403,1121833
1000,16,0,0,1,63514,16,7992,1127165
1000,16,0,0,1,62738,24,8320,1027580
1000,16,0,0,1,70972,17,8232,1114106
1000,16,0,0,1,69988,30,8513,1214416
1000,16,0,0,1,65805,19,8454,1214877
1000,16,0,0,1,67740,15,8137,910451
1000,16,0,0,1,63778,17,9445,1121910
1000,16,0,0,1,67413,17,9356,1221104
1000,16,0,0,1,70163,20,8433,923332
1000,16,0,0,1,70986,25,9114,1098488
1000,16,0,0,1,62916,26,8366,1123361
1000,16,0,0,1,78067,20,9095,1202730
1000,16,0,0,1,71857,17,8449,1106637
1000,16,0,0,1,77401,27,8382,1201544
1000,16,0,0,1,70019,18,8535,1401640
1000,16,0,0,1,68641,19,8546,1118601
1000,16,0,0,1,72982,17,8611,1113325
1000,16,0,0,1,75129,18,9607,1192969
1000,16,0,0,1,61425,17,8235,1225697
1000,16,0,0,1,72400,18,8940,1073944
1000,16,0,0,1,72700,16,8565,1111002
1000,16,0,0,1,64801,24,8273,1027152
1000,16,0,0,1,74077,20,8623,1010186
1000,16,0,0,1,65881,20,9344,1113989
1000,16,0,0,1,68766,23,8970,1220901
1000,16,0,0,1,25379,16,9334,1156494
1000,16,0,0,1,70186,27,8487,1110834
1000,16,0,0,1,27038,25,9780,1148212
1000,16,0,0,1,37113,14,8810,1144143
1000,16,0,0,1,72956,25,8461,1111236
1000,16,0,0,1,31420,17,8392,1218360
1000,16,0,0,1,68199,16,8490,1111181
1000,16,0,0,1,72145,24,8791,1006047
1000,16,0,0,1,72002,16,9306,1186035
1000,16,0,0,1,63370,24,8592,1217117
1000,16,0,0,1,29933,25,9442,1048166
1000,16,0,0,1,65280,20,9066,1213319
1000,16,0,0,1,29778,19,8124,1166207
1000,16,0,0,1,66980,18,8256,1113809
1000,16,0,0,1,18740,15,8234,1057445
1000,16,0,0,1,65809,20,8644,1015135
1000,16,0,0,1,64962,16,8105,1015860
1000,16,0,0,1,73944,21,8452,1509389
1000,16,0,0,1,72371,20,9053,1105833
1000,16,0,0,1,64513,17,8407,1118776
1000,16,0,0,1,33861,18,9381,946543
1000,16,0,0,1,73284,19,8560,1005455
1000,16,0,0,1,72514,20,8926,905138
1000,16,0,0,1,63771,16,8321,1010906
1000,16,0,0,1,72024,18,9300,1202433
1000,16,0,0,1,68283,16,7929,1007612
1000,16,0,0,1,74298,18,8886,1202818
1000,16,0,0,1,26557,18,8270,1557215
1000,16,0,0,1,64151,20,9613,1014000
1000,16,0,0,1,68133,19,8231,1518528
1000,16,0,0,1,74368,18,8629,1005313
1000,16,0,0,1,69992,18,8758,910648
1000,16,0,0,1,54729,17,8263,1286449
1000,16,0,0,1,62612,22,7992,1222077
1000,16,0,0,1,71471,19,8414,1114883
1000,16,0,0,1,63875,15,8275,1118859
1000,16,0,0,1,84691,23,8852,1193400
1000,16,0,0,1,71635,23,8993,1208821
1000,16,0,0,1,26183,21,8313,1057939
1000,16,0,0,1,67428,19,9308,1112736
1000,16,0,0,1,24021,24,9136,1247889
1000,16,0,0,1,70175,21,8575,1113760
1000,16,0,0,1,69802,25,8554,1313713
1000,16,0,0,1,19821,17,8132,1167499
1000,16,0,0,1,72728,20,8446,1010196
1000,16,0,0,1,71796,19,9109,1200814
1000,16,0,0,1,74512,20,9758,1000238
1000,16,0,0,1,76435,19,8811,1006859
1000,16,0,0,1,65013,23,8114,1115719
1000,16,0,0,1,68223,18,8229,1114849
1000,16,0,0,1,33643,17,8723,1245794
1000,16,0,0,1,18727,16,8346,1167030
1000,16,0,0,1,76927,24,8932,1044966
1000,16,0,0,1,67508,19,10121,1204469
1000,16,0,0,1,70150,25,9572,1021959
1000,16,0,0,1,30569,16,8471,1048364
1000,16,0,0,1,27192,20,8574,1253238
1000,16,0,0,1,70573,16,8247,1217595
1000,16,0,0,1,79216,24,9635,1188067
1000,16,0,0,1,22341,15,8339,1154535
1000,16,0,0,1,33036,25,9283,1148503
1000,16,0,0,1,74376,16,8778,706873
1000,16,0,0,1,71321,18,8713,1109652
1000,16,0,0,1,66179,17,7870,1318067
1000,16,0,0,1,76777,15,9612,1293994
1000,16,0,0,1,69994,17,8123,1219280
1000,16,0,0,1,65693,25,9071,1213209
1000,16,0,0,1,70884,18,8192,1214384
1000,16,0,0,1,72411,18,8560,1301496
1000,16,0,0,1,19411,16,8482,1162692
1000,16,0,0,1,60026,19,9277,1224920
1000,16,0,0,1,63814,20,9477,1020749
1000,16,0,0,1,66784,17,8201,1217592
1000,16,0,0,1,67252,20,8679,1109266
1000,16,0,0,1,63256,24,9002,1220705
1000,16,0,0,1,64155,19,8112,1118701
1000,16,0,0,1,76367,21,8863,1201248
1000,16,0,0,1,64694,17,8340,1022818
1000,16,0,0,1,37654,18,10155,1046094
1000,16,0,0,1,67878,18,8028,1118262
1000,16,0,0,1,58417,13,7878,1031799
1000,16,0,0,1,70132,16,8251,1113784
1000,16,0,0,1,60159,23,8534,1301698
1000,16,0,0,1,67393,20,8407,1010695
1000,16,0,0,1,28379,15,8229,1057098
1000,16,0,0,1,63905,18,8065,1115236
1000,16,0,0,1,71802,18,8471,1301978
1000,16,0,0,1,27426,17,8925,1147422
1000,16,0,0,1,21749,17,8118,1155292
1000,16,0,0,1,29247,19,8313,1151815
1000,16,0,0,1,18575,14,8062,1361423
1000,16,0,0,1,39462,16,9096,1231459
1000,16,0,0,1,26716,14,8257,1250646
1000,16,0,0,1,76559,21,9873,1201622
1000,16,0,0,1,65983,20,9588,1005315
1000,16,0,0,1,63971,17,8117,1019363
1000,16,0,0,1,67943,16,8217,1178971
1000,16,0,0,1,68800,19,8137,1119855
1000,16,0,0,1,78624,16,9140,1200633
1000,16,0,0,1,33018,19,8590,1141097
1000,16,0,0,1,55492,25,23743,2285977
1000,16,0,0,1,72450,25,8692,1405372
1000,16,0,0,1,66125,24,8392,1219487
1000,16,0,0,1,63412,15,8233,1130740
1000,16,0,0,1,80269,26,8933,1102615
1000,16,0,0,1,29741,18,8330,1148977
1000,16,0,0,1,63577,18,8173,1125735
1000,16,0,0,1,65250,24,8085,1111720
1000,16,0,0,1,26356,25,8299,1055307
1000,16,0,0,1,63684,25,8233,1217542
1000,16,0,0,1,79886,23,8896,1289347
1000,16,0,0,1,34388,17,8679,948615
1000,16,0,0,1,37763,19,9824,1048000
1000,16,0,0,1,30921,24,8541,1155792
1000,16,0,0,1,26949,17,9325,1160776
1000,16,0,0,1,68851,17,8224,1305724
1000,16,0,0,1,69654,15,9286,1114168
1000,16,0,0,1,31337,13,9006,1156015
1000,16,0,0,1,81885,25,9245,1389093
1000,16,0,0,1,77025,21,9127,1293575
1000,16,0,0,1,73166,18,8542,1015109
1000,16,0,0,1,63946,20,9786,1121161
1000,16,0,0,1,32242,18,8647,1151568
1000,16,0,0,1,68369,24,10193,1100491
1000,16,0,0,1,30244,21,8668,1136550
1000,16,0,0,1,29005,16,8412,1054893
1000,16,0,0,1,20329,23,9333,1062562
1000,16,0,0,1,28166,20,8215,1254167
1000,16,0,0,1,34787,20,10097,1135266
1000,16,0,0,1,66354,25,9600,1016523
1000,16,0,0,1,63647,18,8056,923133
1000,16,0,0,1,72678,24,8720,1203156
