Num GPU,Num Client,Round,Average Detection Time,Average
1,10,1,1359187,1188845.333
1,10,2,1065631,1188845.333
1,10,3,1141718,1188845.333
1,20,1,1489995,1763402
1,20,2,1648619,1763402
1,20,3,2151592,1763402
1,30,1,1675513,1755943
1,30,2,1848973,1755943
1,30,3,1743343,1755943
2,10,1,1162324,1130479.667
2,10,2,1134322,1130479.667
2,10,3,1094793,1130479.667
2,20,1,1610101,1587142.333
2,20,2,1671064,1587142.333
2,20,3,1480262,1587142.333
2,30,1,1794347,1746605
2,30,2,1723306,1746605
2,30,3,1722162,1746605
3,10,1,966549,1077883.667
3,10,2,1061044,1077883.667
3,10,3,1206058,1077883.667
3,20,1,2124237,1939308.667
3,20,2,1875277,1939308.667
3,20,3,1818412,1939308.667
3,30,1,1728204,1772058
3,30,2,1899864,1772058
3,30,3,1688106,1772058
4,10,1,1145412,903722.6667
4,10,2,140646,903722.6667
4,10,3,1425110,903722.6667
4,20,1,1568944,1699320
4,20,2,1789564,1699320
4,20,3,1739452,1699320
4,30,1,1717842,1789771.333
4,30,2,1866738,1789771.333
4,30,3,1784734,1789771.333
5,10,1,1117343,1122228.333
5,10,2,1111378,1122228.333
5,10,3,1137964,1122228.333
5,20,1,1624797,1731121.333
5,20,2,1782935,1731121.333
5,20,3,1785632,1731121.333
5,30,1,1662456,1782943.667
5,30,2,1883431,1782943.667
5,30,3,1802944,1782943.667
6,10,1,128846,870386.6667
6,10,2,1290807,870386.6667
6,10,3,1191507,870386.6667
6,20,1,1506468,1613308.667
6,20,2,1960009,1613308.667
6,20,3,1373449,1613308.667
6,30,1,2046877,1871826
6,30,2,1866529,1871826
6,30,3,1702072,1871826
7,10,1,135714,889470
7,10,2,1294870,889470
7,10,3,1237826,889470
7,20,1,1610310,1538315.333
7,20,2,1457938,1538315.333
7,20,3,1546698,1538315.333
7,30,1,1969910,1838494.667
7,30,2,1809439,1838494.667
7,30,3,1736135,1838494.667
